# All the points presented here are averaged over 1 times execution.
qValue,Number of Iterations,X,Y,Z,Angle
0.5,100,-14.0892,-0.920294,-0.177107,9.53364
1.5,105,-14.9836,-0.0386118,-0.0446392,9.99027
