0,-0.0579647
1,-0.0720051
2,-0.0646927
3,-0.0719386
4,-0.0653841
5,-0.0693482
6,-0.073416
7,-0.0681732
8,-0.0676628
9,-0.0691748
10,-0.0731744
11,-0.0765989
12,-0.0736153
13,-0.0750761
14,-0.0715748
15,-0.0750961
16,-0.0755144
17,-0.0731382
18,-0.0765457
19,-0.0749291
20,-0.0761983
21,-0.0752821
22,-0.0765718
23,-0.0752356
24,-0.0763988
25,-0.0754476
26,-0.0762953
27,-0.0760416
28,-0.0759214
29,-0.0762959
30,-0.076268
31,-0.0762023
32,-0.0761842
33,-0.0763326
34,-0.0764399
35,-0.0763287
36,-0.0762778
37,-0.0763426
38,-0.0762838
39,-0.0762092
40,-0.0762505
41,-0.0763065
42,-0.0762562
43,-0.0762898
44,-0.0762656
45,-0.0762889
46,-0.076313
47,-0.0762983
48,-0.0763103
49,-0.076301
50,-0.0763107
51,-0.0763266
52,-0.0763423
53,-0.0763578
54,-0.0763464
55,-0.0763347
56,-0.0763237
57,-0.076332
58,-0.0763404
59,-0.0763424
60,-0.0763445
61,-0.0763367
62,-0.0763423
63,-0.0763478
64,-0.0763427
65,-0.0763377
66,-0.0763326
67,-0.0763276
68,-0.0763315
69,-0.0763357
70,-0.0763398
71,-0.0763365
72,-0.0763333
73,-0.0763354
74,-0.0763334
75,-0.0763346
76,-0.0763359
77,-0.0763348
78,-0.0763359
79,-0.0763369
80,-0.0763362
81,-0.0763367
82,-0.0763373
83,-0.0763378
84,-0.0763383
85,-0.0763377
86,-0.0763372
87,-0.0763377
88,-0.0763381
89,-0.0763385
90,-0.0763388
