# All the points presented here is averaged over 10 times execution.
qValue,Elapsed Time,Number of Iterations,Metric Value,RelativeError
1.24,9299.1,86.2,-1.87256,-0.000769687
1.25,9229.4,85,-1.89671,6.32225e-05
1.26,8666.7,79.7,-1.92138,6.09027e-05
1.27,9885.2,91,-1.9466,6.2423e-05
1.28,9717.2,89.3,-1.97238,-0.000348395
1.29,8183.5,75.2,-1.99874,-2.96724e-05
1.3,9363.9,86.7,-2.02569,6.33025e-05
1.31,9487.8,87.4,-2.05326,6.21004e-05
1.32,9698.5,86.2,-2.08146,4.86554e-05
1.33,9667.6,85.8,-2.11031,4.89706e-06
1.34,9325.9,86.2,-2.13982,-0.000209907
1.35,9416.1,87,-2.17002,5.61122e-05
1.36,8982.4,82.9,-2.20094,5.69795e-05
1.37,8982.7,83,-2.23258,-3.07045e-05
1.38,9490.5,87.7,-2.26498,5.63812e-05
1.39,9027.7,83.1,-2.29816,-3.65562e-05
1.4,9247.5,85,-2.33213,-0.000866132
1.41,9389.5,87,-2.36694,5.98248e-05
1.42,8328.6,77,-2.40259,-5.39389e-05
1.43,9227.4,85,-2.43912,5.93094e-05
1.44,9151,88.9,-2.47656,-6.43323e-05
1.45,8186.5,81.2,-2.51493,5.49089e-05
1.46,7854.3,81,-2.55426,5.59483e-05
1.47,7730.3,80,-2.59459,5.95982e-05
1.48,8582.3,81,-2.63594,-0.00100744
1.49,8799.9,85,-2.67836,5.83268e-05
1.5,8224.2,85,-2.72186,5.36176e-05
1.51,8124,84.2,-2.76649,5.38056e-05
1.52,8046,83.4,-2.81229,5.72337e-05
1.53,8530.3,88.2,-2.85928,5.12725e-05
1.54,8107.4,84.1,-2.90752,-0.000245245
1.55,8800.3,91,-2.95704,-0.000144581
1.56,8591.1,89,-3.00788,-0.000236639
1.57,8248.3,85,-3.06009,5.57124e-05
1.58,8551.9,88,-3.11371,-0.000195159
1.59,9146.6,95,-3.16879,5.08267e-05
1.6,8822.5,89,-3.22537,4.54869e-05
1.61,8988.6,85,-3.28351,-3.13905e-05
1.62,8653.6,80,-3.34327,4.81973e-05
1.63,9159.9,85,-3.40469,5.0877e-05
1.64,8316.2,77,-3.46783,-2.08942e-05
1.65,8128.4,75,-3.53275,4.76392e-05
1.66,7840.9,72,-3.5995,4.32551e-05
1.67,8903.3,82,-3.66816,-0.000327431
1.68,9180.3,85,-3.73879,5.14438e-05
1.69,8753.9,81,-3.81145,-6.22516e-05
1.7,8721.7,83,-3.88622,5.09032e-05
1.71,8701.2,85,-3.96316,5.04054e-05
1.72,9526.8,91.9,-4.04236,-6.80012e-05
1.73,8382.8,81,-4.12389,-0.000324469
1.74,8421.2,80,-4.20783,-2.83951e-05
1.75,9477.2,85.8,-4.29427,4.18799e-05
1.76,8551.6,80,-4.3833,-0.00058918
1.77,7441.6,68,-4.47501,4.32122e-05
1.78,9014.8,86.8,-4.56948,-2.6953e-05
1.79,9143.9,91,-4.66683,4.35741e-05
1.8,9063.4,87.9,-4.76715,-1.79003e-05
1.81,8426.8,84.4,-4.87055,1.91637e-05
1.82,9126,86,-4.97714,4.08314e-05
1.83,8972.1,88.2,-5.08704,-7.58582e-05
1.84,8874.7,87,-5.20035,-0.000259156
1.85,7970.1,78,-5.31722,4.01223e-05
1.86,8980.9,85,-5.43776,-0.000569609
1.87,9215.1,83,-5.5621,3.82165e-05
1.88,9874.7,90.3,-5.6904,-8.83982e-05
1.89,8212.6,83,-5.82279,-0.000153122
1.9,8661,85,-5.95943,2.34109e-05
1.91,7727,75,-6.10046,3.73105e-05
1.92,8428.1,87,-6.24606,-0.000750295
1.93,8015.4,83,-6.39639,-0.000474365
1.94,8970.2,93,-6.55162,-0.000114151
1.95,8393.7,87,-6.71195,-0.000383531
1.96,7627.5,78,-6.87755,2.57845e-05
1.97,7505.7,77,-7.04864,-0.000529314
1.98,8121.9,83,-7.2254,5.39604e-05
1.99,8288.1,85.5,-7.40807,-0.00127667
2,8217,85.2,-7.59686,2.81863e-05
