qValue,WholeFieldAgreement,MaskedFieldAgreement
0.01,20.970,16.413
0.02,20.970,16.413
0.03,20.970,16.413
0.04,20.970,16.413
0.05,20.970,16.413
0.06,20.970,16.413
0.07,20.970,16.413
0.08,20.970,16.413
0.09,20.970,16.413
0.11,20.970,16.413
0.12,20.970,16.413
0.13,20.970,16.413
0.14,20.970,16.413
0.15,20.970,16.413
0.16,20.954,16.394
0.17,20.952,16.391
0.18,20.949,16.387
0.19,20.864,16.277
0.1,20.970,16.413
0.21,20.856,16.267
0.22,20.852,16.262
0.23,20.848,16.256
0.24,20.668,16.005
0.25,20.579,15.898
0.26,13.875,6.173
0.27,11.710,4.957
0.28,13.542,5.923
0.29,11.272,4.771
0.2,20.860,16.272
0.31,11.275,4.724
0.32,11.243,4.723
0.33,11.114,4.627
0.34,11.317,4.737
0.35,11.017,4.546
0.36,10.960,4.524
0.37,10.925,4.525
0.38,11.142,4.573
0.39,10.828,4.473
0.3,11.468,4.867
0.41,10.982,4.534
0.42,10.907,4.486
0.43,10.783,4.450
0.44,10.874,4.432
0.45,11.055,4.530
0.46,11.028,4.516
0.47,10.986,4.477
0.48,10.961,4.447
0.49,10.800,4.435
0.4,10.994,4.526
0.51,10.748,4.389
0.52,10.784,4.388
0.53,10.820,4.386
0.54,10.776,4.392
0.55,10.877,4.382
0.56,10.906,4.383
0.57,10.902,4.380
0.58,10.893,4.376
0.59,10.883,4.374
0.5,10.737,4.408
0.61,10.884,4.367
0.62,10.896,4.368
0.63,10.897,4.365
0.64,10.558,4.325
0.65,10.397,4.264
0.66,10.900,4.364
0.67,10.906,4.366
0.68,10.905,4.367
0.69,10.907,4.369
0.6,10.877,4.369
0.71,10.917,4.374
0.72,10.927,4.377
0.73,10.934,4.379
0.74,10.940,4.381
0.75,9.369,3.890
0.76,9.266,3.848
0.77,9.268,3.846
0.78,10.401,4.212
0.79,10.436,4.216
0.7,10.912,4.371
0.81,10.501,4.229
0.82,10.518,4.235
0.83,10.551,4.241
0.84,3.157,1.998
0.85,3.222,2.019
0.86,3.247,2.032
0.87,3.044,1.993
0.88,3.379,2.073
0.89,3.374,2.080
0.8,10.467,4.222
0.91,2.812,1.972
0.92,2.995,2.019
0.93,2.704,1.963
0.94,2.954,2.029
0.95,1.966,1.788
0.96,2.914,2.034
0.97,2.955,2.051
0.98,2.790,2.023
0.99,3.034,2.083
0.9,2.999,2.004
1.01,2.347,1.959
1.02,2.915,2.080
1.03,2.314,1.971
1.04,2.329,1.981
1.05,2.961,2.116
1.06,2.392,2.006
1.07,2.368,2.011
1.08,2.461,2.036
1.09,2.408,2.034
1.11,2.535,2.068
1.12,2.582,2.083
1.13,2.469,2.079
1.14,2.567,2.095
1.15,2.534,2.104
1.16,2.596,2.116
1.17,2.623,2.125
1.18,2.587,2.131
1.19,9.624,3.673
1.1,2.440,2.046
1.21,2.608,2.192
1.22,2.778,2.195
1.23,2.678,2.228
1.24,2.802,2.220
1.25,8.663,3.371
1.26,2.812,2.237
1.27,4.582,2.609
1.28,8.876,3.447
1.29,4.508,2.671
1.2,9.677,3.683
1.31,4.610,2.653
1.32,4.876,2.685
1.33,4.711,2.685
1.34,8.810,3.503
1.35,7.650,3.289
1.36,5.075,2.763
1.37,4.927,2.753
1.38,8.955,3.585
1.39,8.944,3.597
1.3,2.905,2.295
1.41,3.663,2.762
1.42,6.028,3.214
1.43,3.654,2.799
1.44,8.868,3.654
1.45,5.710,3.227
1.46,6.006,3.278
1.47,5.700,3.259
1.48,3.652,2.891
1.49,3.222,2.658
1.4,6.589,3.273
1.5,3.638,2.923
1,2.329,1.981
