qValue,WholeFieldAgreement,MaskedFieldAgreement
0.01,7.831,4.256
0.02,7.777,4.198
0.03,7.729,4.140
0.04,7.709,4.127
0.05,7.629,4.031
0.06,7.584,3.992
0.07,7.397,3.786
0.08,7.391,3.781
0.09,7.257,3.652
0.11,4.147,2.171
0.12,4.297,2.315
0.13,4.435,2.436
0.14,4.063,2.193
0.15,4.070,2.206
0.16,4.091,2.224
0.17,4.017,2.144
0.18,4.615,2.549
0.19,4.012,2.142
0.1,4.121,2.152
0.21,4.008,2.140
0.22,4.078,2.232
0.23,4.136,2.292
0.24,4.166,2.319
0.25,4.218,2.363
0.26,4.243,2.384
0.27,4.284,2.416
0.28,4.271,2.409
0.29,4.300,2.432
0.2,4.011,2.143
0.31,4.468,2.558
0.32,4.151,2.322
0.33,3.160,1.947
0.34,3.154,1.957
0.35,3.004,1.911
0.36,2.951,1.897
0.37,2.954,1.906
0.38,2.928,1.903
0.39,2.924,1.908
0.3,4.232,2.383
0.41,2.953,1.934
0.42,2.947,1.939
0.43,2.952,1.948
0.44,2.931,1.944
0.45,2.966,1.967
0.46,2.972,1.978
0.47,2.974,1.986
0.48,2.984,1.997
0.49,2.998,2.010
0.4,2.946,1.923
0.51,2.989,2.022
0.52,3.032,2.048
0.53,3.034,2.057
0.54,2.999,2.049
0.55,3.074,2.090
0.56,3.075,2.099
0.57,3.045,2.094
0.58,3.036,2.098
0.59,3.057,2.115
0.5,3.008,2.023
0.61,3.098,2.151
0.62,3.093,2.157
0.63,3.123,2.180
0.64,3.094,2.174
0.65,3.103,2.189
0.66,3.145,2.217
0.67,3.163,2.235
0.68,3.176,2.251
0.69,3.169,2.258
0.6,3.075,2.133
0.71,3.190,2.290
0.72,3.210,2.310
0.73,3.215,2.324
0.74,3.213,2.334
0.75,3.251,2.364
0.76,3.265,2.384
0.77,3.230,2.382
0.78,3.266,2.411
0.79,3.291,2.436
0.7,3.178,2.274
0.81,3.312,2.474
0.82,3.346,2.503
0.83,3.311,2.506
0.84,3.345,2.536
0.85,3.363,2.560
0.86,3.394,2.589
0.87,3.394,2.607
0.88,3.429,2.637
0.89,3.436,2.657
0.8,3.239,2.429
0.91,3.457,2.700
0.92,3.479,2.726
0.93,3.478,2.744
0.94,3.508,2.774
0.95,3.401,2.747
0.96,3.412,2.769
0.97,3.433,2.795
0.98,3.426,2.808
0.99,3.447,2.835
0.9,3.436,2.674
1.01,3.496,2.893
1.02,3.505,2.915
1.03,3.506,2.932
1.04,3.521,2.958
1.05,3.540,2.986
1.06,3.576,3.024
1.07,3.573,3.040
1.08,3.585,3.063
1.09,3.600,3.090
1.11,3.637,3.146
1.12,3.668,3.183
1.13,3.660,3.194
1.14,3.696,3.233
1.15,3.700,3.252
1.16,3.762,3.308
1.17,3.780,3.336
1.18,3.774,3.348
1.19,3.805,3.384
1.1,3.628,3.124
1.21,3.832,3.431
1.22,3.874,3.475
1.23,3.891,3.501
1.24,3.908,3.527
1.25,3.959,3.575
1.26,3.973,3.599
1.27,4.001,3.631
1.28,4.016,3.655
1.29,4.055,3.694
1.2,3.813,3.404
1.31,4.090,3.744
1.32,4.138,3.787
1.33,4.174,3.823
1.34,4.191,3.847
1.35,4.200,3.864
1.36,4.223,3.890
1.37,4.246,3.917
1.38,4.266,3.940
1.39,4.285,3.964
1.3,4.061,3.712
1.41,4.316,4.005
1.42,4.334,4.027
1.43,4.356,4.050
1.44,4.374,4.071
1.45,4.391,4.092
1.46,4.409,4.112
1.47,4.429,4.134
1.48,4.439,4.150
1.49,4.461,4.173
1.4,4.301,3.985
1.5,4.481,4.194
1,3.521,2.958
