qValue,WholeFieldAgreement,MaskedFieldAgreement
0.01,12.146,5.663
0.02,11.575,5.925
0.03,11.688,5.988
0.04,11.535,5.902
0.05,11.279,5.755
0.06,11.410,5.820
0.07,11.376,5.802
0.08,11.173,5.692
0.09,11.118,5.665
0.11,11.030,5.611
0.12,11.442,5.832
0.13,11.535,5.876
0.14,11.013,5.597
0.15,11.027,5.602
0.16,10.999,5.586
0.17,10.879,5.520
0.18,9.429,4.725
0.19,9.397,4.717
0.1,11.443,5.837
0.21,6.265,3.385
0.22,8.575,4.390
0.23,6.255,3.367
0.24,6.049,3.322
0.25,6.302,3.365
0.26,6.000,3.300
0.27,5.988,3.293
0.28,5.673,3.184
0.29,5.666,3.178
0.2,9.317,4.686
0.31,5.648,3.169
0.32,5.619,3.159
0.33,5.617,3.155
0.34,5.599,3.149
0.35,5.613,3.151
0.36,5.616,3.150
0.37,5.596,3.141
0.38,5.573,3.131
0.39,5.571,3.128
0.3,5.647,3.171
0.41,5.525,3.107
0.42,5.502,3.096
0.43,5.506,3.090
0.44,5.413,3.059
0.45,5.940,3.176
0.46,5.796,3.125
0.47,5.663,3.082
0.48,5.536,3.045
0.49,5.458,3.017
0.4,5.576,3.124
0.51,7.414,3.748
0.52,5.354,2.950
0.53,7.477,3.764
0.54,5.222,2.891
0.55,5.192,2.875
0.56,7.487,3.757
0.57,5.158,2.855
0.58,7.504,3.757
0.59,5.136,2.841
0.5,5.662,3.067
0.61,5.132,2.834
0.62,5.159,2.841
0.63,5.153,2.836
0.64,5.143,2.830
0.65,5.161,2.834
0.66,5.158,2.830
0.67,5.161,2.829
0.68,5.173,2.831
0.69,5.189,2.834
0.6,5.156,2.845
0.71,5.218,2.840
0.72,5.252,2.850
0.73,5.261,2.851
0.74,5.285,2.858
0.75,5.307,2.863
0.76,7.315,3.646
0.77,5.298,2.854
0.78,5.304,2.853
0.79,5.307,2.852
0.7,5.212,2.841
0.81,5.308,2.846
0.82,5.275,2.830
0.83,5.243,2.812
0.84,5.218,2.799
0.85,5.161,2.773
0.86,5.117,2.751
0.87,5.075,2.730
0.88,5.069,2.723
0.89,5.024,2.700
0.8,5.306,2.848
0.91,5.630,2.954
0.92,5.637,2.954
0.93,4.819,2.595
0.94,4.811,2.585
0.95,4.786,2.569
0.96,4.756,2.550
0.97,4.717,2.526
0.98,4.649,2.489
0.99,4.578,2.450
0.9,5.030,2.699
1.01,4.568,2.432
1.02,4.555,2.420
1.03,4.601,2.434
1.04,4.535,2.397
1.05,4.624,2.432
1.06,4.529,2.382
1.07,4.512,2.368
1.08,4.469,2.342
1.09,4.431,2.320
1.11,4.414,2.299
1.12,4.448,2.307
1.13,4.428,2.292
1.14,4.403,2.276
1.15,4.416,2.275
1.16,4.638,2.368
1.17,4.333,2.229
1.18,4.762,2.416
1.19,4.786,2.422
1.1,4.438,2.316
1.21,4.695,2.366
1.22,4.676,2.351
1.23,4.327,2.193
1.24,4.310,2.181
1.25,4.330,2.184
1.26,4.329,2.178
1.27,4.823,2.395
1.28,4.330,2.169
1.29,4.313,2.158
1.2,4.330,2.211
1.31,4.304,2.145
1.32,4.299,2.138
1.33,4.333,2.146
1.34,4.329,2.140
1.35,4.304,2.127
1.36,4.310,2.125
1.37,4.341,2.131
1.38,4.337,2.125
1.39,4.311,2.113
1.3,4.306,2.150
1.41,4.310,2.104
1.42,4.325,2.106
1.43,4.299,2.094
1.44,4.276,2.083
1.45,4.306,2.089
1.46,4.286,2.079
1.47,3.563,1.886
1.48,3.551,1.881
1.49,3.550,1.878
1.4,4.321,2.112
1.5,3.555,1.877
1,4.535,2.397
