,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement
,0.26,2.587,2.352,0.26,4.243,2.384,0.26,6.960,4.078,0.26,14.829,4.905,0.26,2.547,2.270,0.26,6.000,3.300,0.26,4.327,2.313,0.26,4.032,3.763,0.26,5.250,1.846,0.26,5.889,4.248
,0.27,2.642,2.372,0.27,4.284,2.416,0.27,6.938,4.056,0.27,13.628,4.577,0.27,2.615,2.073,0.27,5.988,3.293,0.27,4.313,2.304,0.27,4.022,3.755,0.27,4.815,1.653,0.27,5.900,4.255
,0.28,2.880,2.571,0.28,4.271,2.409,0.28,5.361,3.946,0.28,13.573,4.562,0.28,2.289,2.143,0.28,5.673,3.184,0.28,4.307,2.299,0.28,4.037,3.772,0.28,4.865,1.674,0.28,5.897,4.249
,0.29,2.624,2.362,0.29,4.300,2.432,0.29,5.299,3.906,0.29,9.849,3.072,0.29,2.211,2.138,0.29,5.666,3.178,0.29,4.353,2.322,0.29,4.021,3.759,0.29,7.784,2.872,0.29,5.874,4.225
,0.2,3.403,3.258,0.2,4.011,2.143,0.2,9.560,5.217,0.2,16.531,5.691,0.2,2.543,2.145,0.2,9.317,4.686,0.2,4.128,2.204,0.2,3.620,3.399,0.2,8.880,3.524,0.2,8.059,5.931
,0.31,2.605,2.288,0.31,4.468,2.558,0.31,5.086,3.804,0.31,9.869,3.094,0.31,2.465,2.117,0.31,5.648,3.169,0.31,4.361,2.325,0.31,4.024,3.766,0.31,4.252,1.421,0.31,5.835,4.188
,0.32,2.859,2.543,0.32,4.151,2.322,0.32,4.943,3.730,0.32,11.453,3.702,0.32,2.495,2.116,0.32,5.619,3.159,0.32,4.350,2.319,0.32,4.019,3.763,0.32,6.187,2.249,0.32,5.841,4.190
,0.33,2.625,2.285,0.33,3.160,1.947,0.33,4.631,3.578,0.33,12.079,3.965,0.33,2.337,2.122,0.33,5.617,3.155,0.33,4.420,2.352,0.33,4.022,3.768,0.33,5.336,1.860,0.33,5.840,4.183
,0.34,2.622,2.278,0.34,3.154,1.957,0.34,4.280,3.379,0.34,12.108,3.979,0.34,2.275,2.117,0.34,5.599,3.149,0.34,4.402,2.342,0.34,4.027,3.775,0.34,6.099,2.199,0.34,5.810,4.157
,0.35,2.627,2.277,0.35,3.004,1.911,0.35,3.461,2.752,0.35,9.849,3.097,0.35,2.302,2.116,0.35,5.613,3.151,0.35,4.451,2.366,0.35,4.030,3.779,0.35,5.162,1.780,0.35,5.818,4.152
,0.36,2.631,2.274,0.36,2.951,1.897,0.36,3.422,2.685,0.36,7.871,2.452,0.36,2.214,2.095,0.36,5.616,3.150,0.36,4.482,2.380,0.36,4.088,3.833,0.36,6.065,2.172,0.36,5.781,4.127
,0.37,2.735,2.301,0.37,2.954,1.906,0.37,3.393,2.642,0.37,6.844,2.157,0.37,2.094,2.045,0.37,5.596,3.141,0.37,4.515,2.396,0.37,4.104,3.850,0.37,7.318,2.653,0.37,5.792,4.130
,0.38,2.746,2.232,0.38,2.928,1.903,0.38,4.454,3.310,0.38,6.777,2.148,0.38,2.121,2.052,0.38,5.573,3.131,0.38,4.487,2.381,0.38,4.096,3.843,0.38,7.309,2.637,0.38,5.827,4.149
,0.39,2.723,2.271,0.39,2.924,1.908,0.39,5.363,3.346,0.39,6.712,2.140,0.39,2.117,2.049,0.39,5.571,3.128,0.39,4.491,2.383,0.39,4.107,3.855,0.39,5.957,2.108,0.39,5.757,4.096
,0.3,2.644,2.365,0.3,4.232,2.383,0.3,5.186,3.856,0.3,9.808,3.062,0.3,2.445,2.119,0.3,5.647,3.171,0.3,4.351,2.321,0.3,4.034,3.773,0.3,4.406,1.479,0.3,5.872,4.218
,0.41,2.721,2.267,0.41,2.953,1.934,0.41,3.638,2.960,0.41,6.747,2.114,0.41,2.038,2.007,0.41,5.525,3.107,0.41,4.683,2.477,0.41,4.107,3.858,0.41,3.493,1.175,0.41,5.713,4.054
,0.42,2.720,2.241,0.42,2.947,1.939,0.42,3.821,3.074,0.42,7.140,2.220,0.42,2.048,1.376,0.42,5.502,3.096,0.42,4.764,2.515,0.42,4.084,3.838,0.42,3.469,1.167,0.42,5.717,4.054
,0.43,2.709,2.234,0.43,2.952,1.948,0.43,7.048,2.670,0.43,6.740,2.118,0.43,2.091,1.360,0.43,5.506,3.090,0.43,4.767,2.516,0.43,4.043,3.804,0.43,7.334,2.589,0.43,5.684,4.022
,0.44,2.700,2.232,0.44,2.931,1.944,0.44,7.310,2.735,0.44,5.676,1.873,0.44,2.103,1.350,0.44,5.413,3.059,0.44,4.777,2.521,0.44,4.081,3.838,0.44,4.688,1.571,0.44,5.711,4.042
,0.45,2.706,2.228,0.45,2.966,1.967,0.45,4.208,2.069,0.45,4.831,1.530,0.45,2.112,1.343,0.45,5.940,3.176,0.45,4.774,2.519,0.45,4.076,3.835,0.45,3.467,1.227,0.45,5.688,4.019
,0.46,2.752,2.170,0.46,2.972,1.978,0.46,7.779,2.860,0.46,4.245,1.407,0.46,2.136,1.338,0.46,5.796,3.125,0.46,4.773,2.519,0.46,4.062,3.825,0.46,7.286,2.547,0.46,5.680,4.009
,0.47,2.653,2.161,0.47,2.974,1.986,0.47,8.644,3.111,0.47,4.476,1.463,0.47,2.157,1.328,0.47,5.663,3.082,0.47,4.781,2.522,0.47,4.081,3.843,0.47,3.492,1.281,0.47,5.686,4.011
,0.48,2.696,2.245,0.48,2.984,1.997,0.48,8.902,3.189,0.48,4.313,1.428,0.48,2.155,1.323,0.48,5.536,3.045,0.48,4.779,2.521,0.48,4.094,3.856,0.48,4.580,1.526,0.48,5.705,4.023
,0.49,2.698,2.242,0.49,2.998,2.010,0.49,4.881,2.136,0.49,4.394,1.448,0.49,2.159,1.319,0.49,5.458,3.017,0.49,4.778,2.520,0.49,4.120,3.880,0.49,3.246,1.243,0.49,5.707,4.021
,0.4,2.735,2.230,0.4,2.946,1.923,0.4,3.895,3.139,0.4,6.124,2.005,0.4,2.114,2.049,0.4,5.576,3.124,0.4,4.499,2.386,0.4,4.109,3.858,0.4,5.910,2.082,0.4,5.759,4.093
,0.51,2.735,2.173,0.51,2.989,2.022,0.51,2.912,2.104,0.51,4.055,1.374,0.51,2.190,1.309,0.51,7.414,3.748,0.51,4.775,2.517,0.51,4.119,3.881,0.51,3.549,1.304,0.51,5.714,4.022
,0.52,2.735,2.174,0.52,3.032,2.048,0.52,8.588,3.089,0.52,4.260,1.420,0.52,2.205,1.303,0.52,5.354,2.950,0.52,4.846,2.553,0.52,4.121,3.883,0.52,3.495,1.294,0.52,5.701,4.009
,0.53,2.740,2.177,0.53,3.034,2.057,0.53,3.450,1.941,0.53,4.130,1.394,0.53,2.210,1.300,0.53,7.477,3.764,0.53,4.784,2.523,0.53,4.127,3.890,0.53,3.065,1.218,0.53,5.719,4.020
,0.54,2.731,2.176,0.54,2.999,2.049,0.54,2.814,2.042,0.54,4.068,1.383,0.54,2.216,1.296,0.54,5.222,2.891,0.54,4.842,2.550,0.54,4.129,3.893,0.54,2.997,1.206,0.54,5.718,4.017
,0.55,2.733,2.178,0.55,3.074,2.090,0.55,2.787,2.022,0.55,3.513,1.255,0.55,2.216,1.293,0.55,5.192,2.875,0.55,4.843,2.550,0.55,4.133,3.897,0.55,3.321,1.266,0.55,5.719,4.016
