qValue,WholeFieldAgreement,MaskedFieldAgreement
0.01,42.066,41.232
0.02,10.188,4.745
0.03,9.147,4.429
0.04,6.154,3.397
0.05,7.153,3.761
0.06,7.318,3.801
0.07,7.065,3.758
0.08,7.007,3.728
0.09,6.900,3.675
0.11,3.171,2.206
0.12,4.383,2.681
0.13,3.109,2.158
0.14,3.011,2.098
0.15,3.034,2.115
0.16,2.267,1.670
0.17,2.207,1.638
0.18,2.249,1.660
0.19,4.115,2.197
0.1,3.175,2.210
0.21,2.245,1.507
0.22,4.202,2.246
0.23,4.222,2.257
0.24,3.538,1.922
0.25,4.285,2.289
0.26,4.327,2.313
0.27,4.313,2.304
0.28,4.307,2.299
0.29,4.353,2.322
0.2,4.128,2.204
0.31,4.361,2.325
0.32,4.350,2.319
0.33,4.420,2.352
0.34,4.402,2.342
0.35,4.451,2.366
0.36,4.482,2.380
0.37,4.515,2.396
0.38,4.487,2.381
0.39,4.491,2.383
0.3,4.351,2.321
0.41,4.683,2.477
0.42,4.764,2.515
0.43,4.767,2.516
0.44,4.777,2.521
0.45,4.774,2.519
0.46,4.773,2.519
0.47,4.781,2.522
0.48,4.779,2.521
0.49,4.778,2.520
0.4,4.499,2.386
0.51,4.775,2.517
0.52,4.846,2.553
0.53,4.784,2.523
0.54,4.842,2.550
0.55,4.843,2.550
0.56,4.850,2.553
0.57,4.850,2.552
0.58,4.838,2.546
0.59,4.852,2.552
0.5,4.778,2.520
0.61,4.878,2.564
0.62,4.876,2.563
0.63,4.877,2.563
0.64,4.874,2.561
0.65,4.875,2.561
0.66,4.870,2.558
0.67,4.867,2.556
0.68,4.862,2.553
0.69,4.854,2.549
0.6,4.860,2.556
0.71,4.854,2.547
0.72,4.881,2.561
0.73,4.873,2.556
0.74,4.849,2.544
0.75,4.891,2.564
0.76,4.880,2.559
0.77,4.953,2.594
0.78,4.876,2.556
0.79,4.933,2.584
0.7,4.851,2.547
0.81,4.935,2.583
0.82,4.939,2.585
0.83,4.926,2.578
0.84,4.922,2.576
0.85,4.931,2.580
0.86,4.936,2.582
0.87,4.932,2.580
0.88,4.930,2.579
0.89,4.933,2.579
0.8,4.928,2.581
0.91,4.934,2.579
0.92,4.930,2.577
0.93,4.926,2.575
0.94,4.920,2.572
0.95,4.941,2.581
0.96,4.925,2.574
0.97,4.930,2.574
0.98,4.910,2.565
0.99,4.915,2.566
0.9,4.931,2.578
1.01,4.958,2.587
1.02,4.974,2.595
1.03,4.970,2.593
1.04,4.976,2.594
1.05,4.967,2.591
1.06,4.967,2.590
1.07,4.955,2.585
1.08,4.950,2.580
1.09,4.942,2.577
1.11,4.944,2.577
1.12,4.929,2.570
1.13,4.923,2.567
1.14,4.946,2.578
1.15,4.974,2.592
1.16,4.974,2.592
1.17,4.985,2.597
1.18,4.986,2.598
1.19,5.009,2.608
1.1,4.943,2.577
1.21,4.997,2.601
1.22,4.996,2.600
1.23,5.002,2.604
1.24,4.993,2.599
1.25,5.018,2.610
1.26,4.805,2.503
1.27,5.027,2.614
1.28,5.036,2.618
1.29,5.002,2.601
1.2,4.994,2.600
1.31,5.024,2.613
1.32,5.028,2.615
1.33,4.764,2.483
1.34,4.757,2.479
1.35,4.784,2.491
1.36,4.751,2.476
1.37,4.752,2.476
1.38,4.805,2.500
1.39,5.087,2.643
1.3,5.004,2.602
1.41,5.089,2.641
1.42,5.070,2.632
1.43,5.067,2.632
1.44,5.079,2.637
1.45,5.076,2.636
1.46,5.067,2.630
1.47,5.096,2.645
1.48,5.082,2.638
1.49,5.074,2.634
1.4,5.067,2.633
1.5,5.081,2.637
1,4.976,2.594
