qValue,WholeFieldAgreement,MaskedFieldAgreement
0.01,16.935,10.939
0.02,16.935,10.939
0.03,16.935,10.939
0.04,16.935,10.939
0.05,16.935,10.939
0.06,16.935,10.939
0.07,16.935,10.939
0.08,16.935,10.939
0.09,16.935,10.939
0.11,16.935,10.939
0.12,16.935,10.939
0.13,16.935,10.939
0.14,16.935,10.939
0.15,16.935,10.939
0.16,16.935,10.939
0.17,16.935,10.939
0.18,16.935,10.939
0.19,16.935,10.939
0.1,16.935,10.939
0.21,16.935,10.939
0.22,16.793,10.759
0.23,16.794,10.759
0.24,12.314,5.274
0.25,12.603,5.272
0.26,12.049,5.725
0.27,12.347,5.327
0.28,12.061,5.716
0.29,12.066,5.735
0.2,16.935,10.939
0.31,12.009,5.725
0.32,12.005,5.727
0.33,11.980,5.704
0.34,11.943,5.688
0.35,11.934,5.693
0.36,11.778,5.608
0.37,11.762,5.602
0.38,11.764,5.603
0.39,11.733,5.586
0.3,12.058,5.732
0.41,12.009,5.736
0.42,11.996,5.730
0.43,11.674,5.564
0.44,11.526,5.452
0.45,11.794,5.631
0.46,11.789,5.629
0.47,11.778,5.622
0.48,11.681,5.569
0.49,11.665,5.557
0.4,11.665,5.542
0.51,11.635,5.538
0.52,11.619,5.527
0.53,11.601,5.515
0.54,11.582,5.503
0.55,11.563,5.490
0.56,11.544,5.477
0.57,11.405,5.395
0.58,11.164,5.260
0.59,11.122,5.236
0.5,11.649,5.546
0.61,10.176,4.763
0.62,11.002,5.158
0.63,10.962,5.138
0.64,10.946,5.132
0.65,10.930,5.125
0.66,10.259,4.799
0.67,10.220,4.781
0.68,10.241,4.789
0.69,10.130,4.744
0.6,10.708,5.013
0.71,10.114,4.734
0.72,10.298,4.805
0.73,10.253,4.785
0.74,10.279,4.793
0.75,9.967,4.667
0.76,10.334,4.811
0.77,10.293,4.791
0.78,10.265,4.775
0.79,10.205,4.748
0.7,10.018,4.698
0.81,9.967,4.650
0.82,10.201,4.734
0.83,10.082,4.686
0.84,10.113,4.693
0.85,10.128,4.695
0.86,10.009,4.644
0.87,10.048,4.655
0.88,10.043,4.649
0.89,10.028,4.639
0.8,9.901,4.629
0.91,9.530,4.440
0.92,9.253,4.336
0.93,9.284,4.342
0.94,9.145,4.289
0.95,9.256,4.323
0.96,9.362,4.356
0.97,9.158,4.280
0.98,9.242,4.304
0.99,9.181,4.278
0.9,9.998,4.623
1.01,9.211,4.279
1.02,9.115,4.241
1.03,9.098,4.232
1.04,9.117,4.233
1.05,9.094,4.220
1.06,9.118,4.223
1.07,9.088,4.208
1.08,9.062,4.195
1.09,9.093,4.200
1.11,8.829,4.110
1.12,9.045,4.167
1.13,9.805,4.409
1.14,8.977,4.139
1.15,8.980,4.134
1.16,8.989,4.132
1.17,8.204,3.892
1.18,8.168,3.878
1.19,8.187,3.879
1.1,9.110,4.201
1.21,8.878,4.080
1.22,8.873,4.074
1.23,8.067,3.826
1.24,8.889,4.071
1.25,8.336,3.898
1.26,8.017,3.797
1.27,8.321,3.885
1.28,8.225,3.851
1.29,8.249,3.854
1.2,8.078,3.842
1.31,8.007,3.771
1.32,8.275,3.848
1.33,8.170,3.811
1.34,8.159,3.802
1.35,8.230,3.819
1.36,8.229,3.814
1.37,8.204,3.801
1.38,8.181,3.789
1.39,8.001,3.729
1.3,8.078,3.798
1.41,8.268,3.801
1.42,7.966,3.701
1.43,6.546,3.194
1.44,6.521,3.181
1.45,6.559,3.188
1.46,6.519,3.169
1.47,6.492,3.155
1.48,6.503,3.154
1.49,6.562,3.167
1.4,7.882,3.685
1.5,4.847,2.378
1,9.117,4.233
