qValue,WholeFieldAgreement,MaskedFieldAgreement
0.01,8.145,6.908
0.02,8.145,6.908
0.03,8.145,6.908
0.04,8.145,6.908
0.05,8.145,6.908
0.06,8.145,6.908
0.07,8.145,6.908
0.08,8.145,6.908
0.09,8.145,6.908
0.11,8.145,6.908
0.12,8.145,6.908
0.13,8.145,6.908
0.14,8.145,6.908
0.15,8.145,6.908
0.16,8.145,6.908
0.17,8.145,6.908
0.18,8.145,6.908
0.19,8.145,6.908
0.1,8.145,6.908
0.21,7.433,6.144
0.22,7.434,6.144
0.23,5.472,4.236
0.24,6.037,4.756
0.25,5.912,4.599
0.26,5.848,4.579
0.27,4.740,3.677
0.28,4.902,3.833
0.29,4.815,3.771
0.2,7.432,6.144
0.31,4.758,3.797
0.32,4.822,3.773
0.33,4.269,3.400
0.34,4.286,3.392
0.35,4.066,3.282
0.36,4.211,3.346
0.37,4.240,3.358
0.38,3.508,2.960
0.39,3.442,2.902
0.3,4.943,3.848
0.41,3.722,3.085
0.42,3.685,3.048
0.43,3.428,2.930
0.44,3.692,3.056
0.45,2.760,2.490
0.46,2.670,2.434
0.47,2.769,2.501
0.48,2.777,2.507
0.49,2.756,2.495
0.4,3.719,3.096
0.51,2.749,2.495
0.52,2.751,2.498
0.53,2.753,2.502
0.54,2.629,2.427
0.55,2.635,2.431
0.56,2.634,2.432
0.57,2.631,2.431
0.58,2.629,2.431
0.59,2.408,2.291
0.5,2.750,2.494
0.61,2.455,2.317
0.62,2.367,2.241
0.63,2.364,2.236
0.64,2.363,2.233
0.65,2.363,2.231
0.66,2.363,2.230
0.67,2.363,2.230
0.68,2.363,2.229
0.69,2.362,2.228
0.6,2.447,2.310
0.71,2.360,2.226
0.72,2.385,2.154
0.73,2.322,2.137
0.74,2.321,2.138
0.75,2.322,2.141
0.76,2.330,2.143
0.77,2.387,2.152
0.78,2.316,2.146
0.79,2.329,2.154
0.7,2.361,2.226
0.81,2.328,2.161
0.82,2.422,2.167
0.83,2.415,2.167
0.84,2.398,2.166
0.85,2.376,2.170
0.86,2.408,2.170
0.87,2.404,2.174
0.88,2.403,2.175
0.89,2.400,2.174
0.8,2.376,2.163
0.91,2.416,2.179
0.92,2.410,2.182
0.93,2.404,2.183
0.94,2.402,2.186
0.95,2.399,2.187
0.96,2.399,2.189
0.97,2.446,2.185
0.98,2.478,2.182
0.99,2.499,2.187
0.9,2.423,2.176
1.01,2.459,2.194
1.02,2.505,2.198
1.03,2.508,2.202
1.04,2.511,2.206
1.05,2.475,2.208
1.06,2.508,2.214
1.07,2.509,2.220
1.08,2.477,2.221
1.09,2.487,2.228
1.11,2.519,2.242
1.12,2.521,2.248
1.13,2.519,2.254
1.14,2.531,2.262
1.15,2.537,2.269
1.16,2.541,2.276
1.17,2.545,2.284
1.18,2.547,2.291
1.19,2.560,2.301
1.1,2.504,2.235
1.21,2.581,2.321
1.22,2.589,2.332
1.23,2.601,2.344
1.24,2.617,2.358
1.25,2.623,2.369
1.26,2.635,2.382
1.27,2.653,2.398
1.28,2.658,2.410
1.29,2.679,2.429
1.2,2.575,2.312
1.31,2.711,2.463
1.32,2.731,2.483
1.33,2.743,2.499
1.34,2.752,2.514
1.35,2.780,2.539
1.36,2.832,2.580
1.37,2.859,2.607
1.38,2.864,2.621
1.39,2.914,2.663
1.3,2.684,2.441
1.41,2.970,2.724
1.42,3.024,2.773
1.43,3.058,2.810
1.44,3.116,2.865
1.45,3.182,2.929
1.46,4.303,3.922
1.47,4.378,3.997
1.48,4.421,4.045
1.49,4.480,4.105
1.4,2.941,2.693
1.5,4.531,4.157
1,2.511,2.206
