qValue,WholeFieldAgreement,MaskedFieldAgreement
0.01,28.135,25.079
0.02,28.135,25.079
0.03,28.135,25.079
0.04,28.135,25.079
0.05,28.135,25.079
0.06,28.135,25.079
0.07,28.135,25.079
0.08,28.135,25.079
0.09,28.135,25.079
0.11,28.135,25.079
0.12,28.135,25.079
0.13,28.135,25.079
0.14,28.135,25.079
0.15,28.135,25.079
0.16,28.135,25.079
0.17,28.135,25.079
0.18,28.135,25.079
0.19,28.135,25.079
0.1,28.135,25.079
0.21,28.135,25.079
0.22,28.135,25.079
0.23,28.135,25.079
0.24,28.135,25.079
0.25,28.135,25.079
0.26,28.007,24.947
0.27,27.747,24.682
0.28,27.610,24.538
0.29,27.609,24.538
0.2,28.135,25.079
0.31,27.459,24.381
0.32,27.458,24.381
0.33,26.380,23.286
0.34,26.377,23.283
0.35,26.375,23.280
0.36,26.217,23.116
0.37,10.586,3.540
0.38,10.272,3.461
0.39,10.512,3.526
0.3,27.460,24.382
0.41,10.454,3.512
0.42,10.455,3.522
0.43,10.353,3.500
0.44,10.089,3.413
0.45,10.158,3.436
0.46,10.198,3.468
0.47,9.705,3.261
0.48,9.698,3.258
0.49,10.718,3.583
0.4,10.564,3.542
0.51,9.739,3.271
0.52,9.304,3.105
0.53,9.328,3.123
0.54,9.080,3.026
0.55,9.326,3.108
0.56,9.352,3.115
0.57,9.364,3.118
0.58,9.369,3.119
0.59,9.332,3.104
0.5,10.732,3.587
0.61,8.692,2.879
0.62,8.590,2.845
0.63,8.651,2.864
0.64,8.584,2.842
0.65,8.618,2.852
0.66,8.592,2.843
0.67,8.568,2.834
0.68,8.558,2.830
0.69,8.581,2.835
0.6,8.991,2.977
0.71,8.443,2.792
0.72,8.447,2.792
0.73,8.436,2.788
0.74,4.140,1.465
0.75,8.275,2.741
0.76,8.481,2.796
0.77,8.204,2.716
0.78,8.273,2.733
0.79,3.967,1.435
0.7,8.569,2.831
0.81,3.946,1.435
0.82,3.956,1.438
0.83,3.936,1.436
0.84,3.955,1.441
0.85,3.899,1.432
0.86,3.903,1.434
0.87,3.873,1.430
0.88,3.839,1.426
0.89,3.848,1.429
0.8,3.978,1.439
0.91,3.825,1.430
0.92,3.807,1.429
0.93,3.725,1.417
0.94,3.750,1.423
0.95,3.700,1.417
0.96,3.482,1.386
0.97,3.500,1.391
0.98,3.517,1.397
0.99,3.509,1.399
0.9,3.782,1.419
1.01,3.438,1.397
1.02,3.498,1.409
1.03,3.465,1.408
1.04,3.431,1.408
1.05,3.407,1.409
1.06,3.377,1.411
1.07,3.369,1.415
1.08,3.364,1.419
1.09,3.313,1.420
1.11,3.315,1.430
1.12,3.296,1.434
1.13,3.286,1.439
1.14,3.263,1.443
1.15,3.247,1.448
1.16,3.234,1.454
1.17,3.257,1.461
1.18,3.265,1.467
1.19,3.235,1.472
1.1,3.305,1.424
1.21,3.200,1.484
1.22,3.172,1.491
1.23,3.163,1.497
1.24,3.166,1.505
1.25,3.155,1.512
1.26,3.153,1.520
1.27,3.172,1.528
1.28,3.172,1.535
1.29,3.101,1.544
1.2,3.214,1.478
1.31,3.017,1.566
1.32,3.079,1.572
1.33,3.092,1.580
1.34,3.137,1.587
1.35,3.093,1.596
1.36,3.098,1.605
1.37,3.073,1.616
1.38,3.011,1.632
1.39,3.015,1.640
1.3,3.090,1.554
1.41,3.107,1.650
1.42,3.020,1.668
1.43,3.061,1.673
1.44,3.077,1.681
1.45,3.053,1.693
1.46,3.043,1.704
1.47,3.055,1.712
1.48,3.048,1.723
1.49,3.058,1.732
1.4,2.999,1.652
1.5,3.069,1.740
1,3.431,1.408
