qValue,WholeFieldAgreement,MaskedFieldAgreement
0.01,13.462,11.631
0.02,13.462,11.631
0.03,13.462,11.631
0.04,13.462,11.631
0.05,13.462,11.631
0.06,13.462,11.631
0.07,13.462,11.631
0.08,13.462,11.631
0.09,13.462,11.631
0.11,13.462,11.631
0.12,13.462,11.631
0.13,13.462,11.631
0.14,13.462,11.631
0.15,13.462,11.631
0.16,13.462,11.631
0.17,13.462,11.631
0.18,13.462,11.631
0.19,13.462,11.631
0.1,13.462,11.631
0.21,13.462,11.631
0.22,13.462,11.631
0.23,13.462,11.631
0.24,13.462,11.631
0.25,13.462,11.631
0.26,13.462,11.631
0.27,13.462,11.631
0.28,9.819,7.993
0.29,9.648,7.843
0.2,13.462,11.631
0.31,9.467,7.680
0.32,9.285,7.519
0.33,9.073,7.333
0.34,6.424,5.107
0.35,6.397,5.090
0.36,4.875,3.949
0.37,4.522,3.698
0.38,4.483,3.675
0.39,4.443,3.652
0.3,9.627,7.825
0.41,4.002,3.359
0.42,3.246,2.868
0.43,3.207,2.847
0.44,3.173,2.831
0.45,3.137,2.815
0.46,2.482,2.390
0.47,2.469,2.388
0.48,2.459,2.389
0.49,2.452,2.392
0.4,4.044,3.382
0.51,2.288,2.311
0.52,2.306,2.330
0.53,2.312,2.339
0.54,2.395,2.394
0.55,2.582,2.509
0.56,2.582,2.515
0.57,2.401,2.425
0.58,2.416,2.436
0.59,2.440,2.455
0.5,2.452,2.401
0.61,2.527,2.513
0.62,2.527,2.520
0.63,2.526,2.525
0.64,2.524,2.530
0.65,2.519,2.533
0.66,2.654,2.671
0.67,2.523,2.544
0.68,2.557,2.582
0.69,2.567,2.587
0.6,2.458,2.473
0.71,2.599,2.610
0.72,2.613,2.622
0.73,2.625,2.633
0.74,2.668,2.696
0.75,2.659,2.686
0.76,2.688,2.715
0.77,2.723,2.750
0.78,2.736,2.764
0.79,2.736,2.765
0.7,2.582,2.598
0.81,2.703,2.730
0.82,2.709,2.735
0.83,2.710,2.732
0.84,2.718,2.743
0.85,2.722,2.744
0.86,3.624,3.501
0.87,3.009,3.010
0.88,2.756,2.784
0.89,3.036,3.041
0.8,2.744,2.773
0.91,2.766,2.790
0.92,2.796,2.823
0.93,3.466,3.393
0.94,3.504,3.424
0.95,3.496,3.420
0.96,3.544,3.459
0.97,3.604,3.508
0.98,3.608,3.512
0.99,3.604,3.510
0.9,3.037,3.043
1.01,3.599,3.508
1.02,3.646,3.546
1.03,3.647,3.548
1.04,3.644,3.546
1.05,3.646,3.548
1.06,3.704,3.596
1.07,3.727,3.614
1.08,3.753,3.636
1.09,3.743,3.628
1.11,3.774,3.653
1.12,3.768,3.648
1.13,3.803,3.677
1.14,3.782,3.660
1.15,3.820,3.690
1.16,3.798,3.672
1.17,3.828,3.695
1.18,3.840,3.706
1.19,3.856,3.719
1.1,3.757,3.639
1.21,3.849,3.712
1.22,3.874,3.731
1.23,3.856,3.717
1.24,3.872,3.728
1.25,3.855,3.714
1.26,3.870,3.726
1.27,3.887,3.739
1.28,3.868,3.722
1.29,3.859,3.714
1.2,3.861,3.722
1.31,3.906,3.751
1.32,3.892,3.738
1.33,3.889,3.735
1.34,3.906,3.748
1.35,3.881,3.726
1.36,3.968,3.798
1.37,3.909,3.747
1.38,3.968,3.795
1.39,3.918,3.752
1.3,3.914,3.759
1.41,3.915,3.747
1.42,3.903,3.736
1.43,3.897,3.729
1.44,3.914,3.742
1.45,3.949,3.770
1.46,3.952,3.771
1.47,3.929,3.751
1.48,3.932,3.752
1.49,3.911,3.732
1.4,3.962,3.788
1.5,3.952,3.765
1,3.644,3.546
