qValue,WholeFieldAgreement,MaskedFieldAgreement
0.01,9.848,8.975
0.02,9.848,8.975
0.03,9.848,8.975
0.04,9.848,8.975
0.05,9.848,8.975
0.06,9.848,8.975
0.07,9.848,8.975
0.08,9.848,8.975
0.09,9.848,8.975
0.11,9.848,8.975
0.12,9.848,8.975
0.13,9.848,8.975
0.14,9.848,8.975
0.15,9.848,8.975
0.16,9.848,8.975
0.17,9.848,8.975
0.18,9.848,8.975
0.19,9.848,8.975
0.1,9.848,8.975
0.21,9.848,8.975
0.22,9.848,8.975
0.23,8.084,7.113
0.24,8.080,7.104
0.25,8.069,7.092
0.26,7.751,6.753
0.27,7.748,6.754
0.28,2.404,1.835
0.29,2.423,1.858
0.2,9.848,8.975
0.31,2.426,1.891
0.32,2.291,1.896
0.33,2.520,1.840
0.34,2.492,1.850
0.35,2.280,1.907
0.36,2.485,1.883
0.37,2.368,1.888
0.38,2.216,1.935
0.39,2.404,1.989
0.3,2.445,1.893
0.41,2.145,1.910
0.42,2.175,1.922
0.43,2.187,1.927
0.44,2.084,1.912
0.45,2.138,1.943
0.46,2.236,1.966
0.47,2.241,1.971
0.48,2.186,1.978
0.49,2.305,1.994
0.4,2.386,2.005
0.51,2.285,2.004
0.52,2.253,2.009
0.53,2.325,2.032
0.54,2.246,2.017
0.55,2.172,1.993
0.56,2.215,2.003
0.57,2.210,2.002
0.58,2.194,1.999
0.59,2.080,1.955
0.5,2.298,1.999
0.61,2.021,1.926
0.62,2.285,2.033
0.63,2.286,2.036
0.64,2.284,2.037
0.65,1.894,1.854
0.66,1.871,1.838
0.67,1.739,1.748
0.68,2.375,2.054
0.69,2.373,2.054
0.6,2.118,1.974
0.71,2.257,2.029
0.72,2.265,2.028
0.73,2.262,2.026
0.74,2.251,2.023
0.75,1.664,1.689
0.76,2.104,1.966
0.77,1.638,1.667
0.78,1.629,1.660
0.79,1.625,1.656
0.7,1.727,1.739
0.81,1.586,1.618
0.82,1.599,1.632
0.83,1.592,1.625
0.84,1.604,1.638
0.85,1.605,1.639
0.86,1.593,1.628
0.87,1.592,1.627
0.88,1.593,1.628
0.89,1.583,1.619
0.8,1.625,1.656
0.91,1.574,1.609
0.92,1.570,1.605
0.93,1.565,1.600
0.94,1.559,1.595
0.95,1.562,1.598
0.96,1.557,1.592
0.97,1.547,1.582
0.98,1.541,1.577
0.99,1.536,1.571
0.9,1.577,1.613
1.01,1.500,1.528
1.02,1.501,1.531
1.03,1.499,1.530
1.04,1.502,1.534
1.05,1.507,1.539
1.06,1.502,1.535
1.07,1.492,1.523
1.08,1.490,1.522
1.09,1.479,1.510
1.11,1.458,1.483
1.12,1.452,1.477
1.13,1.444,1.468
1.14,1.441,1.464
1.15,1.432,1.453
1.16,1.426,1.446
1.17,1.416,1.431
1.18,1.411,1.426
1.19,1.406,1.420
1.1,1.465,1.492
1.21,1.395,1.407
1.22,1.388,1.398
1.23,1.382,1.392
1.24,1.380,1.392
1.25,1.373,1.382
1.26,1.368,1.376
1.27,1.359,1.363
1.28,1.354,1.359
1.29,1.346,1.346
1.2,1.400,1.414
1.31,1.339,1.341
1.32,1.588,1.154
1.33,1.582,1.149
1.34,1.593,1.138
1.35,1.585,1.134
1.36,1.590,1.125
1.37,1.592,1.117
1.38,1.596,1.109
1.39,1.601,1.100
1.3,1.343,1.346
1.41,1.599,1.086
1.42,1.605,1.077
1.43,1.603,1.070
1.44,1.607,1.062
1.45,1.608,1.055
1.46,1.607,1.048
1.47,1.611,1.039
1.48,1.627,1.028
1.49,2.042,0.992
1.4,1.600,1.093
1.5,2.107,0.990
1,1.502,1.534
