qValue,WholeFieldAgreement,MaskedFieldAgreement
0.01,42.253,41.427
0.02,42.253,41.427
0.03,42.253,41.427
0.04,42.253,41.427
0.05,42.253,41.427
0.06,42.253,41.427
0.07,42.253,41.427
0.08,42.253,41.427
0.09,42.253,41.427
0.11,42.253,41.427
0.12,42.253,41.427
0.13,42.253,41.427
0.14,42.253,41.427
0.15,42.253,41.427
0.16,42.253,41.427
0.17,42.253,41.427
0.18,42.253,41.427
0.19,42.253,41.427
0.1,42.253,41.427
0.21,42.253,41.427
0.22,42.253,41.427
0.23,42.253,41.427
0.24,42.253,41.427
0.25,42.253,41.427
0.26,42.253,41.427
0.27,42.253,41.427
0.28,42.253,41.427
0.29,42.253,41.427
0.2,42.253,41.427
0.31,42.253,41.427
0.32,42.253,41.427
0.33,11.762,5.475
0.34,10.599,4.827
0.35,10.892,4.980
0.36,10.697,4.860
0.37,10.788,4.888
0.38,10.854,4.912
0.39,10.822,4.894
0.3,42.253,41.427
0.41,10.672,4.828
0.42,10.607,4.813
0.43,10.616,4.821
0.44,10.549,4.802
0.45,10.520,4.794
0.46,10.512,4.792
0.47,10.500,4.790
0.48,10.468,4.783
0.49,10.437,4.776
0.4,10.711,4.843
0.51,10.394,4.767
0.52,10.372,4.761
0.53,10.358,4.758
0.54,10.351,4.755
0.55,10.347,4.753
0.56,10.350,4.752
0.57,10.360,4.753
0.58,10.371,4.755
0.59,10.380,4.756
0.5,10.415,4.771
0.61,10.397,4.758
0.62,10.403,4.759
0.63,10.410,4.760
0.64,10.417,4.760
0.65,10.425,4.761
0.66,4.470,2.354
0.67,4.557,2.398
0.68,4.499,2.368
0.69,4.495,2.366
0.6,10.389,4.757
0.71,4.519,2.378
0.72,4.553,2.394
0.73,4.623,2.428
0.74,4.619,2.426
0.75,4.593,2.413
0.76,4.623,2.428
0.77,4.614,2.423
0.78,4.600,2.417
0.79,4.615,2.424
0.7,4.538,2.386
0.81,4.633,2.431
0.82,4.648,2.439
0.83,4.677,2.453
0.84,4.701,2.464
0.85,4.676,2.452
0.86,4.708,2.467
0.87,4.700,2.463
0.88,4.708,2.467
0.89,4.711,2.468
0.8,4.631,2.431
0.91,4.727,2.475
0.92,4.728,2.475
0.93,4.740,2.481
0.94,4.721,2.471
0.95,4.737,2.479
0.96,4.779,2.499
0.97,4.792,2.505
0.98,4.785,2.502
0.99,4.787,2.502
0.9,4.726,2.475
1.01,4.874,2.544
1.02,4.878,2.545
1.03,4.865,2.539
1.04,4.867,2.539
1.05,4.871,2.542
1.06,4.864,2.538
1.07,4.857,2.534
1.08,4.868,2.539
1.09,4.856,2.533
1.11,4.845,2.526
1.12,4.911,2.560
1.13,4.910,2.557
1.14,4.908,2.557
1.15,4.905,2.554
1.16,4.903,2.555
1.17,4.818,2.511
1.18,4.832,2.518
1.19,4.828,2.516
1.1,4.853,2.531
1.21,4.882,2.542
1.22,4.878,2.540
1.23,4.860,2.531
1.24,4.856,2.528
1.25,4.858,2.529
1.26,4.919,2.559
1.27,4.924,2.561
1.28,4.914,2.556
1.29,4.933,2.565
1.2,4.805,2.504
1.31,4.645,2.423
1.32,4.685,2.441
1.33,4.714,2.457
1.34,4.708,2.453
1.35,4.714,2.456
1.36,4.702,2.450
1.37,4.706,2.452
1.38,4.678,2.437
1.39,4.716,2.456
1.3,4.904,2.551
1.41,4.738,2.466
1.42,4.967,2.579
1.43,5.046,2.618
1.44,4.973,2.582
1.45,5.017,2.603
1.46,5.045,2.617
1.47,5.041,2.614
1.48,5.044,2.616
1.49,5.041,2.615
1.4,4.734,2.465
1.5,5.028,2.608
1,4.867,2.539
