qValue,WholeFieldAgreement,MaskedFieldAgreement
0.01,38.776,35.341
0.02,38.776,35.341
0.03,38.776,35.341
0.04,38.776,35.341
0.05,38.776,35.341
0.06,38.776,35.341
0.07,38.776,35.341
0.08,38.776,35.341
0.09,38.776,35.341
0.11,38.776,35.341
0.12,38.776,35.341
0.13,38.776,35.341
0.14,38.776,35.341
0.15,38.776,35.341
0.16,38.776,35.341
0.17,38.776,35.341
0.18,38.776,35.341
0.19,38.776,35.341
0.1,38.776,35.341
0.21,38.776,35.341
0.22,38.776,35.341
0.23,38.776,35.341
0.24,38.776,35.341
0.25,38.776,35.341
0.26,38.776,35.341
0.27,38.776,35.341
0.28,38.776,35.341
0.29,38.092,34.580
0.2,38.776,35.341
0.31,38.085,34.569
0.32,37.741,34.177
0.33,37.737,34.173
0.34,25.960,19.319
0.35,16.780,5.718
0.36,16.092,5.421
0.37,16.660,5.665
0.38,17.244,5.756
0.39,16.386,5.361
0.3,37.753,34.194
0.41,16.498,5.364
0.42,16.127,5.252
0.43,16.729,5.425
0.44,16.690,5.411
0.45,16.305,5.301
0.46,16.076,5.233
0.47,16.084,5.233
0.48,16.051,5.223
0.49,16.039,5.220
0.4,16.648,5.408
0.51,15.117,4.991
0.52,15.119,5.006
0.53,16.040,5.221
0.54,16.012,5.211
0.55,7.682,2.478
0.56,16.274,5.275
0.57,16.321,5.276
0.58,16.290,5.271
0.59,16.285,5.274
0.5,16.004,5.190
0.61,15.635,5.087
0.62,15.585,5.072
0.63,16.239,5.260
0.64,16.206,5.248
0.65,16.156,5.228
0.66,16.112,5.207
0.67,16.066,5.187
0.68,15.962,5.161
0.69,7.054,2.247
0.6,15.644,5.092
0.71,15.481,5.028
0.72,15.560,5.048
0.73,15.487,5.020
0.74,7.274,2.293
0.75,7.445,2.338
0.76,15.265,4.946
0.77,7.560,2.365
0.78,5.620,1.843
0.79,5.630,1.845
0.7,7.114,2.261
0.81,5.535,1.819
0.82,7.490,2.338
0.83,5.359,1.776
0.84,7.615,2.369
0.85,5.235,1.747
0.86,5.052,1.707
0.87,7.552,2.348
0.88,4.820,1.660
0.89,16.128,5.084
0.8,15.496,4.987
0.91,15.956,5.027
0.92,15.887,5.004
0.93,16.834,5.263
0.94,16.766,5.237
0.95,4.575,1.627
0.96,4.560,1.627
0.97,4.477,1.616
0.98,4.382,1.605
0.99,4.362,1.609
0.9,16.056,5.058
1.01,4.237,1.598
1.02,4.149,1.592
1.03,14.097,4.456
1.04,4.091,1.595
1.05,14.046,4.451
1.06,4.232,1.627
1.07,4.006,1.604
1.08,3.965,1.605
1.09,4.003,1.622
1.11,3.919,1.624
1.12,3.886,1.628
1.13,3.889,1.638
1.14,14.642,4.703
1.15,14.541,4.678
1.16,3.877,1.665
1.17,14.625,4.716
1.18,15.103,4.862
1.19,15.183,4.894
1.1,4.086,1.640
1.21,15.101,4.883
1.22,3.973,1.739
1.23,3.766,1.731
1.24,3.696,1.736
1.25,3.744,1.754
1.26,3.744,1.767
1.27,3.713,1.777
1.28,3.726,1.792
1.29,3.717,1.805
1.2,3.785,1.697
1.31,15.170,4.966
1.32,3.650,1.846
1.33,15.147,4.971
1.34,15.326,5.028
1.35,3.629,1.896
1.36,15.039,4.961
1.37,15.099,4.981
1.38,15.169,5.006
1.39,15.217,5.025
1.3,3.708,1.819
1.41,3.423,2.047
1.42,3.669,2.028
1.43,3.663,2.050
1.44,3.720,2.064
1.45,4.532,2.071
1.46,3.686,2.117
1.47,3.748,2.128
1.48,3.738,2.154
1.49,3.757,2.178
1.4,3.639,1.989
1.5,3.786,2.196
1,4.091,1.595
