qValue,WholeFieldAgreement,MaskedFieldAgreement
0.01,13.203,6.338
0.02,13.113,6.314
0.03,13.187,6.325
0.04,12.582,6.236
0.05,12.453,6.190
0.06,13.229,6.335
0.07,12.617,6.224
0.08,12.465,6.207
0.09,12.452,6.198
0.11,12.345,6.178
0.12,12.092,6.104
0.13,11.877,6.050
0.14,11.670,5.997
0.15,11.570,5.992
0.16,11.398,5.931
0.17,11.372,5.933
0.18,8.242,4.613
0.19,11.270,5.894
0.1,12.368,6.180
0.21,9.505,5.189
0.22,8.051,4.524
0.23,8.139,4.563
0.24,8.206,4.593
0.25,5.583,4.061
0.26,6.960,4.078
0.27,6.938,4.056
0.28,5.361,3.946
0.29,5.299,3.906
0.2,9.560,5.217
0.31,5.086,3.804
0.32,4.943,3.730
0.33,4.631,3.578
0.34,4.280,3.379
0.35,3.461,2.752
0.36,3.422,2.685
0.37,3.393,2.642
0.38,4.454,3.310
0.39,5.363,3.346
0.3,5.186,3.856
0.41,3.638,2.960
0.42,3.821,3.074
0.43,7.048,2.670
0.44,7.310,2.735
0.45,4.208,2.069
0.46,7.779,2.860
0.47,8.644,3.111
0.48,8.902,3.189
0.49,4.881,2.136
0.4,3.895,3.139
0.51,2.912,2.104
0.52,8.588,3.089
0.53,3.450,1.941
0.54,2.814,2.042
0.55,2.787,2.022
0.56,3.501,1.879
0.57,3.603,1.861
0.58,5.376,2.219
0.59,3.640,1.849
0.5,8.278,3.004
0.61,11.429,4.034
0.62,5.511,2.250
0.63,11.761,4.152
0.64,5.722,2.307
0.65,5.813,2.331
0.66,12.093,4.269
0.67,2.440,1.847
0.68,6.056,2.400
0.69,2.391,1.829
0.6,5.365,2.213
0.71,12.452,4.399
0.72,13.727,4.819
0.73,2.292,1.788
0.74,13.502,4.747
0.75,12.527,4.435
0.76,12.853,4.542
0.77,12.655,4.481
0.78,12.755,4.515
0.79,11.875,4.226
0.7,6.638,2.567
0.81,12.055,4.294
0.82,12.173,4.337
0.83,12.173,4.340
0.84,13.144,4.656
0.85,2.015,1.763
0.86,8.717,3.213
0.87,9.256,3.367
0.88,12.401,4.435
0.89,9.693,3.504
0.8,11.942,4.252
0.91,9.484,3.443
0.92,10.508,3.784
0.93,9.912,3.585
0.94,9.947,3.599
0.95,10.640,3.841
0.96,8.322,3.142
0.97,8.460,3.183
0.98,12.792,4.603
0.99,9.606,3.507
0.9,12.690,4.536
1.01,9.770,3.565
1.02,8.729,3.274
1.03,8.412,3.197
1.04,11.040,4.021
1.05,8.701,3.283
1.06,8.706,3.290
1.07,10.247,3.747
1.08,8.686,3.299
1.09,11.134,4.083
1.11,2.703,2.189
1.12,12.405,4.556
1.13,10.992,4.052
1.14,8.357,3.270
1.15,4.316,2.542
1.16,8.495,3.321
1.17,4.327,2.579
1.18,3.014,2.497
1.19,3.627,2.528
1.1,4.467,2.479
1.21,7.937,3.252
1.22,7.536,3.194
1.23,7.507,3.203
1.24,7.557,3.223
1.25,7.520,3.232
1.26,7.566,3.252
1.27,8.965,3.546
1.28,10.858,4.108
1.29,6.563,3.233
1.2,7.169,3.119
1.31,7.939,3.383
1.32,7.740,3.367
1.33,6.097,3.207
1.34,5.843,3.195
1.35,5.863,3.214
1.36,10.313,3.999
1.37,5.971,3.257
1.38,3.628,2.871
1.39,8.250,3.557
1.3,6.550,3.253
1.41,3.415,2.652
1.42,3.772,2.955
1.43,3.319,2.848
1.44,3.899,3.000
1.45,3.424,2.723
1.46,3.395,2.914
1.47,4.559,2.914
1.48,3.466,2.970
1.49,3.506,2.999
1.4,8.284,3.578
1.5,3.502,3.005
1,11.040,4.021
