qValue,WholeFieldAgreement,MaskedFieldAgreement
0.01,27.852,21.877
0.02,32.237,27.583
0.03,19.239,7.057
0.04,19.129,7.047
0.05,19.144,7.019
0.06,19.302,7.301
0.07,19.120,6.998
0.08,19.092,6.996
0.09,19.003,6.954
0.11,19.153,7.072
0.12,19.156,7.062
0.13,19.155,7.061
0.14,16.637,5.752
0.15,16.809,5.840
0.16,16.506,5.685
0.17,16.615,5.739
0.18,16.410,5.645
0.19,16.669,5.768
0.1,19.044,6.974
0.21,16.477,5.667
0.22,16.677,5.763
0.23,16.358,5.618
0.24,16.236,5.569
0.25,14.025,4.672
0.26,14.829,4.905
0.27,13.628,4.577
0.28,13.573,4.562
0.29,9.849,3.072
0.2,16.531,5.691
0.31,9.869,3.094
0.32,11.453,3.702
0.33,12.079,3.965
0.34,12.108,3.979
0.35,9.849,3.097
0.36,7.871,2.452
0.37,6.844,2.157
0.38,6.777,2.148
0.39,6.712,2.140
0.3,9.808,3.062
0.41,6.747,2.114
0.42,7.140,2.220
0.43,6.740,2.118
0.44,5.676,1.873
0.45,4.831,1.530
0.46,4.245,1.407
0.47,4.476,1.463
0.48,4.313,1.428
0.49,4.394,1.448
0.4,6.124,2.005
0.51,4.055,1.374
0.52,4.260,1.420
0.53,4.130,1.394
0.54,4.068,1.383
0.55,3.513,1.255
0.56,4.057,1.383
0.57,4.007,1.372
0.58,4.023,1.378
0.59,4.027,1.381
0.5,4.046,1.371
0.61,3.989,1.377
0.62,3.910,1.362
0.63,3.976,1.380
0.64,3.985,1.385
0.65,3.651,1.311
0.66,3.684,1.321
0.67,3.448,1.267
0.68,3.490,1.281
0.69,3.522,1.293
0.6,4.031,1.384
0.71,3.918,1.395
0.72,3.891,1.394
0.73,3.829,1.385
0.74,3.570,1.331
0.75,3.865,1.405
0.76,3.836,1.403
0.77,3.833,1.409
0.78,3.625,1.370
0.79,3.627,1.377
0.7,3.949,1.399
0.81,3.828,1.435
0.82,3.654,1.407
0.83,3.805,1.445
0.84,3.719,1.436
0.85,3.660,1.433
0.86,4.015,1.509
0.87,4.669,1.631
0.88,4.599,1.625
0.89,4.328,1.585
0.8,3.736,1.407
0.91,3.658,1.486
0.92,3.842,1.527
0.93,3.876,1.540
0.94,3.649,1.512
0.95,7.255,2.289
0.96,3.619,1.527
0.97,4.116,1.614
0.98,4.139,1.622
0.99,4.124,1.629
0.9,3.651,1.475
1.01,4.093,1.642
1.02,4.116,1.654
1.03,4.031,1.654
1.04,7.611,2.408
1.05,3.908,1.658
1.06,3.870,1.664
1.07,15.247,4.881
1.08,7.484,2.390
1.09,7.372,2.367
1.11,7.060,2.304
1.12,3.774,1.715
1.13,3.747,1.724
1.14,3.531,1.712
1.15,4.151,1.785
1.16,3.836,1.769
1.17,3.837,1.782
1.18,8.057,2.573
1.19,4.413,1.851
1.1,3.829,1.699
1.21,3.600,1.817
1.22,4.022,1.857
1.23,3.828,1.858
1.24,3.828,1.871
1.25,3.818,1.885
1.26,3.801,1.898
1.27,3.798,1.913
1.28,3.656,1.927
1.29,3.742,1.942
1.2,4.659,1.883
1.31,6.866,2.381
1.32,3.734,1.991
1.33,3.733,2.009
1.34,3.748,2.025
1.35,3.760,2.042
1.36,3.763,2.060
1.37,3.757,2.080
1.38,3.724,2.105
1.39,3.755,2.120
1.3,3.679,1.960
1.41,3.707,2.174
1.42,3.716,2.197
1.43,3.763,2.209
1.44,3.812,2.219
1.45,3.777,2.257
1.46,6.824,2.502
1.47,3.943,2.267
1.48,3.993,2.283
1.49,6.863,2.540
1.4,3.685,2.157
1.5,4.042,2.329
1,7.611,2.408
