qValue,WholeFieldAgreement,MaskedFieldAgreement
0.01,27.439,24.374
0.02,10.052,4.251
0.03,11.104,4.274
0.04,9.523,4.050
0.05,9.631,4.041
0.06,8.127,3.371
0.07,12.999,4.814
0.08,7.872,3.220
0.09,9.040,3.790
0.11,7.517,3.015
0.12,7.555,3.028
0.13,7.505,2.999
0.14,7.526,3.019
0.15,5.847,2.122
0.16,5.232,1.861
0.17,7.190,2.824
0.18,6.021,2.212
0.19,10.380,3.738
0.1,8.027,3.285
0.21,5.213,1.848
0.22,6.235,2.307
0.23,6.162,2.267
0.24,5.954,2.164
0.25,9.323,3.522
0.26,5.250,1.846
0.27,4.815,1.653
0.28,4.865,1.674
0.29,7.784,2.872
0.2,8.880,3.524
0.31,4.252,1.421
0.32,6.187,2.249
0.33,5.336,1.860
0.34,6.099,2.199
0.35,5.162,1.780
0.36,6.065,2.172
0.37,7.318,2.653
0.38,7.309,2.637
0.39,5.957,2.108
0.3,4.406,1.479
0.41,3.493,1.175
0.42,3.469,1.167
0.43,7.334,2.589
0.44,4.688,1.571
0.45,3.467,1.227
0.46,7.286,2.547
0.47,3.492,1.281
0.48,4.580,1.526
0.49,3.246,1.243
0.4,5.910,2.082
0.51,3.549,1.304
0.52,3.495,1.294
0.53,3.065,1.218
0.54,2.997,1.206
0.55,3.321,1.266
0.56,3.277,1.261
0.57,3.184,1.250
0.58,2.725,1.177
0.59,3.105,1.242
0.5,3.138,1.223
0.61,2.952,1.222
0.62,2.927,1.221
0.63,2.930,1.226
0.64,2.983,1.237
0.65,2.939,1.234
0.66,2.980,1.243
0.67,2.912,1.238
0.68,2.863,1.237
0.69,2.827,1.236
0.6,2.980,1.224
0.71,5.014,1.707
0.72,5.012,1.711
0.73,2.866,1.256
0.74,4.940,1.693
0.75,2.818,1.262
0.76,2.746,1.265
0.77,2.772,1.271
0.78,2.766,1.276
0.79,2.776,1.282
0.7,2.810,1.239
0.81,2.775,1.293
0.82,2.726,1.297
0.83,2.718,1.303
0.84,2.733,1.309
0.85,2.749,1.315
0.86,2.748,1.320
0.87,2.760,1.326
0.88,2.788,1.332
0.89,2.788,1.338
0.8,2.734,1.286
0.91,2.787,1.350
0.92,2.772,1.356
0.93,2.797,1.363
0.94,2.796,1.370
0.95,2.822,1.376
0.96,2.792,1.383
0.97,2.810,1.389
0.98,2.847,1.395
0.99,2.861,1.401
0.9,2.822,1.344
1.01,2.823,1.415
1.02,2.820,1.423
1.03,2.826,1.430
1.04,2.836,1.436
1.05,2.844,1.443
1.06,2.849,1.451
1.07,2.843,1.459
1.08,2.851,1.466
1.09,2.855,1.473
1.11,2.874,1.487
1.12,2.884,1.494
1.13,2.873,1.503
1.14,2.868,1.512
1.15,2.911,1.517
1.16,2.905,1.526
1.17,2.876,1.537
1.18,2.887,1.545
1.19,2.903,1.552
1.1,2.874,1.480
1.21,2.919,1.568
1.22,2.954,1.574
1.23,2.912,1.585
1.24,2.905,1.595
1.25,2.918,1.603
1.26,2.919,1.612
1.27,2.925,1.620
1.28,2.942,1.627
1.29,2.941,1.636
1.2,2.894,1.562
1.31,2.942,1.654
1.32,2.953,1.662
1.33,2.954,1.670
1.34,2.965,1.678
1.35,2.973,1.686
1.36,2.968,1.696
1.37,2.964,1.706
1.38,2.982,1.713
1.39,2.974,1.724
1.3,2.936,1.645
1.41,2.988,1.742
1.42,3.056,1.742
1.43,2.950,1.765
1.44,3.006,1.766
1.45,3.050,1.770
1.46,2.965,1.791
1.47,3.043,1.789
1.48,3.048,1.798
1.49,3.007,1.813
1.4,2.992,1.731
1.5,2.977,1.826
1,2.836,1.436
