qValue,WholeFieldAgreement,MaskedFieldAgreement
0.01,8.613,6.293
0.02,8.535,6.267
0.03,8.338,6.205
0.04,8.150,6.113
0.05,7.591,5.738
0.06,7.641,5.767
0.07,7.665,5.783
0.08,7.699,5.805
0.09,7.713,5.811
0.11,7.787,5.854
0.12,7.802,5.859
0.13,7.845,5.878
0.14,7.835,5.873
0.15,7.854,5.882
0.16,7.897,5.895
0.17,7.758,5.830
0.18,7.991,5.920
0.19,8.086,5.947
0.1,7.749,5.832
0.21,8.025,5.918
0.22,8.174,5.948
0.23,8.192,5.948
0.24,8.074,5.909
0.25,5.983,4.340
0.26,5.889,4.248
0.27,5.900,4.255
0.28,5.897,4.249
0.29,5.874,4.225
0.2,8.059,5.931
0.31,5.835,4.188
0.32,5.841,4.190
0.33,5.840,4.183
0.34,5.810,4.157
0.35,5.818,4.152
0.36,5.781,4.127
0.37,5.792,4.130
0.38,5.827,4.149
0.39,5.757,4.096
0.3,5.872,4.218
0.41,5.713,4.054
0.42,5.717,4.054
0.43,5.684,4.022
0.44,5.711,4.042
0.45,5.688,4.019
0.46,5.680,4.009
0.47,5.686,4.011
0.48,5.705,4.023
0.49,5.707,4.021
0.4,5.759,4.093
0.51,5.714,4.022
0.52,5.701,4.009
0.53,5.719,4.020
0.54,5.718,4.017
0.55,5.719,4.016
0.56,5.708,4.006
0.57,5.667,3.970
0.58,5.660,3.963
0.59,5.663,3.963
0.5,5.709,4.020
0.61,5.666,3.961
0.62,5.667,3.959
0.63,5.666,3.955
0.64,5.670,3.956
0.65,5.674,3.957
0.66,5.689,3.967
0.67,5.682,3.959
0.68,5.674,3.950
0.69,5.678,3.950
0.6,5.665,3.962
0.71,5.689,3.954
0.72,5.656,3.925
0.73,5.662,3.928
0.74,5.666,3.928
0.75,5.681,3.937
0.76,5.676,3.930
0.77,5.696,3.944
0.78,5.700,3.944
0.79,5.714,3.952
0.7,5.649,3.925
0.81,5.731,3.959
0.82,5.740,3.963
0.83,5.746,3.965
0.84,5.720,3.941
0.85,5.715,3.934
0.86,5.736,3.948
0.87,5.721,3.932
0.88,5.741,3.947
0.89,5.744,3.946
0.8,5.727,3.959
0.91,5.754,3.948
0.92,5.758,3.948
0.93,5.771,3.955
0.94,5.778,3.958
0.95,5.787,3.963
0.96,5.805,3.977
0.97,5.802,3.970
0.98,5.809,3.973
0.99,5.818,3.978
0.9,5.745,3.943
1.01,5.839,3.991
1.02,5.852,4.000
1.03,5.857,4.003
1.04,5.866,4.008
1.05,5.877,4.014
1.06,5.880,4.015
1.07,5.890,4.023
1.08,5.896,4.026
1.09,5.875,4.002
1.11,5.918,4.041
1.12,5.926,4.047
1.13,5.938,4.058
1.14,5.944,4.061
1.15,5.949,4.065
1.16,5.918,4.029
1.17,5.972,4.084
1.18,5.970,4.080
1.19,5.939,4.044
1.1,5.913,4.039
1.21,5.951,4.051
1.22,5.957,4.054
1.23,5.965,4.062
1.24,5.972,4.067
1.25,5.977,4.071
1.26,5.979,4.072
1.27,5.988,4.081
1.28,5.996,4.088
1.29,6.006,4.098
1.2,5.944,4.046
1.31,6.092,4.188
1.32,6.063,4.156
1.33,6.037,4.126
1.34,6.110,4.205
1.35,6.119,4.211
1.36,6.059,4.151
1.37,6.139,4.228
1.38,6.137,4.226
1.39,6.151,4.238
1.3,6.011,4.102
1.41,6.162,4.248
1.42,6.137,4.227
1.43,6.170,4.254
1.44,6.164,4.247
1.45,6.171,4.254
1.46,6.197,4.275
1.47,6.185,4.266
1.48,6.197,4.275
1.49,6.171,4.254
1.4,6.162,4.248
1.5,6.199,4.277
1,5.866,4.008
