qValue,WholeFieldAgreement,MaskedFieldAgreement
0.01,7.572,6.241
0.02,7.527,6.201
0.03,7.496,6.172
0.04,6.725,5.402
0.05,7.053,5.729
0.06,6.178,4.875
0.07,6.240,4.935
0.08,6.152,4.846
0.09,5.298,4.285
0.11,5.422,4.398
0.12,5.335,4.313
0.13,4.735,4.193
0.14,6.819,5.499
0.15,5.299,4.318
0.16,3.245,3.058
0.17,5.432,4.398
0.18,3.269,3.158
0.19,2.472,2.305
0.1,7.043,5.719
0.21,3.393,3.243
0.22,3.534,3.335
0.23,3.522,3.324
0.24,4.149,3.713
0.25,3.608,3.377
0.26,2.587,2.352
0.27,2.642,2.372
0.28,2.880,2.571
0.29,2.624,2.362
0.2,3.403,3.258
0.31,2.605,2.288
0.32,2.859,2.543
0.33,2.625,2.285
0.34,2.622,2.278
0.35,2.627,2.277
0.36,2.631,2.274
0.37,2.735,2.301
0.38,2.746,2.232
0.39,2.723,2.271
0.3,2.644,2.365
0.41,2.721,2.267
0.42,2.720,2.241
0.43,2.709,2.234
0.44,2.700,2.232
0.45,2.706,2.228
0.46,2.752,2.170
0.47,2.653,2.161
0.48,2.696,2.245
0.49,2.698,2.242
0.4,2.735,2.230
0.51,2.735,2.173
0.52,2.735,2.174
0.53,2.740,2.177
0.54,2.731,2.176
0.55,2.733,2.178
0.56,2.735,2.180
0.57,2.731,2.181
0.58,2.739,2.182
0.59,2.727,2.184
0.5,2.736,2.172
0.61,2.732,2.188
0.62,2.727,2.189
0.63,2.743,2.193
0.64,2.732,2.193
0.65,2.731,2.195
0.66,2.734,2.198
0.67,2.731,2.199
0.68,2.733,2.202
0.69,2.728,2.204
0.6,2.738,2.187
0.71,2.722,2.208
0.72,2.716,2.210
0.73,2.732,2.214
0.74,2.719,2.216
0.75,2.728,2.219
0.76,2.722,2.221
0.77,2.725,2.224
0.78,2.722,2.226
0.79,2.717,2.228
0.7,2.717,2.205
0.81,2.718,2.233
0.82,2.724,2.236
0.83,2.730,2.240
0.84,2.717,2.242
0.85,2.728,2.248
0.86,2.715,2.249
0.87,2.721,2.255
0.88,2.718,2.259
0.89,2.722,2.265
0.8,2.723,2.230
0.91,2.700,2.270
0.92,2.709,2.277
0.93,2.702,2.281
0.94,2.708,2.288
0.95,2.700,2.292
0.96,2.696,2.297
0.97,2.695,2.303
0.98,2.701,2.310
0.99,2.697,2.315
0.9,2.710,2.267
1.01,2.700,2.328
1.02,2.703,2.335
1.03,2.718,2.345
1.04,2.710,2.349
1.05,2.718,2.358
1.06,2.733,2.370
1.07,2.714,2.371
1.08,2.718,2.380
1.09,2.717,2.387
1.11,2.734,2.410
1.12,2.747,2.423
1.13,2.745,2.431
1.14,2.749,2.442
1.15,2.764,2.457
1.16,2.773,2.470
1.17,2.779,2.483
1.18,2.785,2.495
1.19,2.804,2.515
1.1,2.727,2.399
1.21,2.826,2.546
1.22,2.842,2.565
1.23,2.869,2.590
1.24,2.870,2.601
1.25,2.889,2.622
1.26,2.912,2.646
1.27,2.931,2.668
1.28,2.957,2.695
1.29,2.984,2.723
1.2,2.815,2.530
1.31,3.046,2.788
1.32,3.089,2.829
1.33,3.140,2.878
1.34,3.210,2.943
1.35,4.239,3.850
1.36,4.358,3.963
1.37,4.395,4.006
1.38,4.449,4.062
1.39,4.503,4.117
1.3,3.014,2.754
1.41,4.594,4.212
1.42,4.634,4.255
1.43,4.664,4.288
1.44,4.703,4.329
1.45,4.731,4.360
1.46,4.778,4.405
1.47,4.791,4.425
1.48,4.839,4.469
1.49,4.869,4.501
1.4,4.576,4.186
1.5,4.850,4.499
1,2.710,2.349
